City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
192,Quatre Cocos,MU,82.4,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
198,Ca Mau,VN,82.81,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
202,Bathsheba,BB,77.0,broken clouds,13.22,-59.52,Atlantis Hotel
205,Kavieng,PG,84.76,overcast clouds,-2.57,150.8,Nusa Island Retreat
209,Salalah,OM,78.8,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
211,Mogadishu,SO,82.4,clear sky,2.04,45.34,Hotel Juba
216,Manokwari,ID,79.23,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
218,Loa Janan,ID,87.66,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
220,Vredendal,ZA,93.97,scattered clouds,-31.67,18.5,Tharrakamma Guest House
222,Sola,VU,83.3,light rain,-13.88,167.55,Ulkel Guest House
224,Sibolga,ID,82.83,light rain,1.74,98.78,Hotel Syariah CN Darussalam
228,Mount Isa,AU,86.0,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
229,Merauke,ID,85.35,moderate rain,-8.47,140.33,
230,Am Timan,TD,83.12,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
235,Hithadhoo,MV,82.69,clear sky,-0.6,73.08,Scoop Guest House
244,Bosaso,SO,77.0,clear sky,11.28,49.18,Red Sea Hotel
250,Kalianget,ID,84.99,few clouds,-7.05,113.93,Pesanggrahan Garam
252,Vanimo,PG,83.39,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
253,Thinadhoo,MV,83.23,light rain,0.53,72.93,
255,Saint-Pierre,RE,84.0,clear sky,-21.34,55.48,Lindsey Hôtel
256,Kudahuvadhoo,MV,82.49,light rain,2.67,72.89,Kudahuvadhoo Retreat
257,Dingle,PH,80.38,moderate rain,11.0,122.67,SEGAYA PROPERTY
258,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
259,Rawatbhata,IN,82.24,light rain,24.93,75.58,Bhainsrorgarh Fort Hotel
266,Biak,ID,83.95,heavy intensity rain,-0.91,122.88,Penginapan Kim
271,Pekalongan,ID,86.29,light rain,-6.89,109.68,Hotel Sahid Mandarin Pekalongan
275,Talikota,IN,84.58,clear sky,16.48,76.32,Prabhugouda B Bantanur
282,Mackay,AU,82.4,scattered clouds,-21.15,149.2,International Lodge Motel
286,Waris Aliganj,IN,79.09,broken clouds,25.02,85.63,Safiganj
289,Male,MV,87.8,broken clouds,4.17,73.51,Hotel Octave Maldives
295,Tura,IN,76.39,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
297,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
300,Tsiroanomandidy,MG,83.07,broken clouds,-18.77,46.03,
307,Kampong Thum,KH,88.95,broken clouds,12.71,104.89,Sambor Village Hotel
313,Takoradi,GH,80.49,light rain,4.88,-1.76,Raybow International Hotel
316,Kontagora,NG,81.72,clear sky,10.4,5.47,City Gate Inn
318,Benguela,AO,80.6,broken clouds,-12.58,13.41,Hotel Praia Morena
329,Eyl,SO,82.42,scattered clouds,7.98,49.82,Amiin Hotel
331,Dawei,MM,86.04,clear sky,14.08,98.2,Hotel Dawei
333,Tual,ID,85.19,overcast clouds,-5.67,132.75,Grand Vilia Hotel
334,Partur,IN,84.02,overcast clouds,19.6,76.22,Alfa Hotel
335,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
